,X_-TACT_TIME_mean,X_-CONVEYOR_SPEED_mean,PUMP_high,PUMP_low,CLN1_over-etching-ratio,CLN1_EPT_time,clean_count,EPT_clean_count_ratio,NH3_TREAT_-RF_FREQ-max,NH3_TREAT_-RF_FREQ-range,NH3_TREAT_-RF_FREQ-mean,NP_3_-MFC_VOL_SIH4-range,VENT_high,VENT_low,Output
2183,160,2650,29276.41667,11795.62857,0.007172744,10038,5,2007.6,13948,435,13621.75,1,16346.35,8108.966667,0.7866126
1705,150,3150,54063.66667,11419.875,0.00929814,10002,8,1250.25,13940,411,13612.7,1,18886.10769,6126.12,0.4329265
40168,140,2650,41094.16,9322.333333,0.010252563,11997,2,5998.5,13965,431,13666.6154,1,17801.24,8049.777778,0.32642135
577,150,3150,39208.13333,10343.36667,0.008095952,10005,8,1250.625,13978,442,13646.5,1,17477.32,6969.566667,0.45503196
13509,150,3150,53120.6,9810.65,0.011345219,12957,3,4319.0,13976,449,13641.25,1,18996.98462,6703.208333,0.38529915
17340,145,2650,39658.07143,11932.64,0.007393715,12984,2,6492.0,13995,455,13622.7273,1,19293.66154,7665.033333,0.42324582
7190,160,2650,34175.48,11386.575,0.006287425,10020,3,3340.0,13984,468,13611.75,1,17721.77333,6865.988889,0.73395336
34010,160,3150,38234.38,15781.375,0.003247564,12009,2,6004.5,13973,464,13636.4545,1,16224.94,7724.22,0.52735937
36434,195,3150,45844.0,11034.62857,0.002996255,12015,3,4005.0,13972,435,13671.9231,1,14817.0875,5777.807692,0.71878815
13339,150,3150,34093.525,10387.75714,0.001617002,12987,2,6493.5,13968,483,13572.8182,1,15775.73333,6898.53,0.9180374
18615,150,3150,73989.63333,12358.76,0.001385042,12996,5,2599.2,13979,459,13634.75,1,17381.28667,6192.691667,0.6012188
35737,140,2650,33735.83333,14915.8,0.003748126,12006,7,1715.142857,13989,476,13588.1579,1,21217.85,8493.677778,0.8475112
10889,150,3150,63932.83333,10343.35,0.000923361,12996,6,2166.0,13977,448,13666.8462,1,16536.8375,6436.858333,0.65576476
30962,170,3150,38435.65714,10387.75714,0.000691085,13023,4,3255.75,13956,443,13623.75,1,16254.43889,8145.958333,0.55939
39344,185,3150,23412.2,13424.18,0.004227804,12063,5,2412.6,13953,425,13636.25,1,16981.55,5745.607143,0.48798087
3087,150,3150,41154.925,12465.3,0.011411411,9990,5,1998.0,13978,453,13638.25,1,18223.28462,7312.6,0.40898082
28829,170,3150,38592.67143,10425.8,0.003690037,13008,5,2601.6,13953,435,13618.3846,1,15804.89333,5982.692308,0.5519984
9557,150,3150,73103.93333,10432.15,0.01050105,9999,4,2499.75,13949,422,13632.5,1,17774.72667,7239.945455,0.4816291
20220,175,3150,67784.33333,12412.04,0.0005,12000,6,2000.0,13972,450,13634.5,1,18903.53846,7036.15,0.6548766
16457,165,4200,31023.96667,12358.76,0.001376147,13080,7,1868.571429,13960,428,13663.6923,1,16227.63571,6487.592857,0.43917626
26700,160,3150,33942.78333,12678.4,0.003679007,13047,5,2609.4,13976,443,13637.9231,1,17601.36667,5669.507143,0.69558334
29761,170,3150,59789.23333,12465.32,0.002483238,12081,2,6040.5,13964,432,13642.0,1,17107.36429,6769.8,0.59839255
34223,170,3150,34325.1,9189.1625,0.002497502,12012,4,3003.0,13921,393,13626.25,1,15510.91875,7271.42,0.6926931
18735,150,3150,51576.86667,11506.44,0.000230681,13005,3,4335.0,13971,440,13656.7143,1,16383.06667,7264.163636,0.50840515
32099,145,3150,60137.63333,15581.625,0.0005,12000,7,1714.285714,13973,449,13636.25,1,16446.75,5886.4,0.86591214
32435,140,2650,42079.34,14649.4,0.007717202,12051,4,3012.75,13989,463,13641.75,1,21247.16667,8378.009091,0.8076084
9973,150,3150,52610.8,13165.44286,0.012612613,9990,8,1248.75,13950,426,13668.6,1,18907.98462,7043.555556,0.4292311
29850,140,2650,40942.8,14605.0,0.001843318,13020,5,2604.0,13993,463,13657.9091,1,15766.89167,8582.466667,0.78410107
34596,140,3150,75222.8,12412.06,0.006509765,11982,2,5991.0,13975,446,13640.5,1,17569.60714,7675.8,0.72141737
21329,140,3150,26619.88333,10077.0,0.00184587,13002,4,3250.5,13981,461,13653.4286,1,16560.21333,8547.5,0.87535137
8459,150,3150,52622.96667,13393.74286,0.00120048,9996,5,1999.2,13988,459,13643.75,1,18907.98462,6991.758333,0.6273477
2778,150,3150,64261.33333,11353.2875,0.00120012,9999,6,1666.5,13988,452,13675.0769,1,15717.25,7845.3,0.56468254
11986,150,3150,37873.76,10349.7,0.001201562,9987,4,2496.75,13965,482,13594.2308,1,15825.23125,8256.944444,0.7722903
2417,160,2650,38733.13333,11879.34,0.002088305,10056,5,2011.2,13974,458,13632.0,1,19448.83846,8716.990909,0.65527433
29060,170,3150,48613.475,13203.47143,0.005484916,12033,2,6016.5,13967,434,13641.5,1,16934.68667,6725.4,0.53892076
